name,betweenness_centrality,degree_centrality,eigenvector_centrality
Warwick,0.3388493568885726,0.5217391304347826,0.34955203198822876
York,0.061665934709412965,0.2608695652173913,0.23686971593833564
KingEdward,0.18252929966058692,0.43478260869565216,0.30720388129784004
Montague,0.014725009526799813,0.17391304347826086,0.1813674764312974
Gloucester,0.1460340975686244,0.41304347826086957,0.3335579465515725
Norfolk,0.0,0.08695652173913043,0.10272896056789083
KingHenry,0.22099938598233573,0.3913043478260869,0.28905062279712046
Northumberland,0.00288599563109367,0.17391304347826086,0.1950355795934128
Clifford,0.13547244552359644,0.2826086956521739,0.24704763965078033
Westmorland,0.0,0.08695652173913043,0.1008009805852886
Exeter,0.001054018445322793,0.10869565217391304,0.13758607530927788
QueenMargaret,0.03431195079745804,0.30434782608695654,0.29237568927227015
PrinceEdward,0.03532567941988232,0.2391304347826087,0.2417130060852391
1Messenger,0.0,0.06521739130434782,0.08186196574015815
SirJohn,0.0,0.021739130434782608,0.022094136317484483
Rutland,0.0,0.021739130434782608,0.023043403783068267
Tutor,0.0,0.021739130434782608,0.023043403783068267
2Messenger,0.0,0.021739130434782608,0.032604552253405986
3Messenger,0.0,0.021739130434782608,0.023043403783068267
Clarence,0.05051986495081123,0.2391304347826087,0.23329362675198756
Son,0.0,0.043478260869565216,0.029734586135465448
Father,0.0,0.043478260869565216,0.029734586135465448
1Keeper,0.0,0.043478260869565216,0.029734586135465448
2Keeper,0.0,0.043478260869565216,0.029734586135465448
LadyGrey,0.043478260869565216,0.08695652173913043,0.08224411170310987
Nobleman,0.0,0.021739130434782608,0.028654854335547812
KingLewis,0.009685990338164249,0.10869565217391304,0.09143031779987634
Oxford,0.05310645071514637,0.21739130434782608,0.21064782653219488
LadyBona,0.0,0.06521739130434782,0.06840407699422503
1Post,0.00024154589371980676,0.043478260869565216,0.02817645501102745
Somerset,0.018840961066025008,0.17391304347826086,0.19314699208811584
Hastings,0.028462330035220064,0.15217391304347827,0.11481059610009772
2Post,0.0,0.043478260869565216,0.05041554687719557
1Watchman,0.017286548347929424,0.06521739130434782,0.03855184427864096
2Watchman,0.025708620734196178,0.08695652173913043,0.05503073501991967
3Watchman,0.0,0.043478260869565216,0.008729030556914938
Rivers,0.0,0.021739130434782608,0.00767151107444188
Huntsman,0.0,0.043478260869565216,0.05976782942302138
Lieutenant,0.0,0.021739130434782608,0.02696113251913504
3Post,0.0,0.021739130434782608,0.032604552253405986
Mayor,0.0,0.08695652173913043,0.0778865893196853
Montgomery,0.01553122874094741,0.10869565217391304,0.07943253981728372
Soldier,0.0,0.043478260869565216,0.01811875989701164
4Messenger,0.0,0.021739130434782608,0.032604552253405986
5Messenger,0.0,0.021739130434782608,0.032604552253405986
Somerville,0.0,0.043478260869565216,0.061259406588606076
6Messenger,0.0,0.043478260869565216,0.04219418069975015
